name;descr;createdAt;createdBy;modifiedAt;modifiedBy;code
Started;Started;2025-02-18T16:28:24+0100;Lucifer;2025-02-18T16:28:24+0100;Lucifer;10
Completed;Completed;2025-02-18T16:28:24+0100;Lucifer;2025-02-18T16:28:24+0100;Lucifer;20
Cancelled;Cancelled;2025-02-18T16:28:24+0100;Lucifer;2025-02-18T16:28:24+0100;Lucifer;30
